episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
57,34.2930,270,3.2,0.507,0.0316,80,0.029,0.41,-0.74,0.0712,0.0411,0.193,7.8
58,40.0877,287,3.4,0.427,0.0337,83,0.028,0.44,-0.86,0.0692,0.0443,0.153,7.8
59,27.0063,256,3.5,0.560,0.0346,80,0.029,0.39,-0.66,0.0657,0.0442,0.148,7.7
60,40.4215,259,3.4,0.413,0.0357,85,0.028,0.40,-0.88,0.0649,0.0434,0.159,7.7
61,39.0730,259,3.3,0.440,0.0368,86,0.027,0.40,-0.84,0.0671,0.0442,0.159,7.7
62,37.5451,257,3.3,0.507,0.0370,82,0.029,0.40,-0.74,0.1155,0.0451,0.159,7.7
63,31.1805,238,3.4,0.440,0.0413,84,0.028,0.37,-0.84,0.0857,0.0518,0.138,7.7
64,43.8169,234,3.4,0.500,0.0436,82,0.029,0.36,-0.75,0.0730,0.0518,0.143,7.8
65,37.2511,321,3.4,0.427,0.0462,85,0.028,0.49,-0.86,0.0826,0.0524,0.129,7.8
66,33.6471,237,3.4,0.527,0.0496,82,0.029,0.36,-0.71,0.0925,0.0547,0.114,7.7
67,45.0798,244,3.4,0.373,0.0545,80,0.029,0.37,-0.94,0.0768,0.0573,0.096,7.7
68,23.6446,266,3.4,0.527,0.0586,77,0.030,0.41,-0.71,0.0649,0.0586,0.105,7.7
69,36.8499,251,3.4,0.453,0.0634,82,0.029,0.39,-0.82,0.0752,0.0605,0.104,7.6
70,27.4511,282,3.4,0.440,0.0672,78,0.030,0.43,-0.84,0.0854,0.0649,0.089,7.7
71,21.2074,200,3.4,0.500,0.0695,81,0.029,0.31,-0.75,0.0795,0.0630,0.096,7.7
72,45.9546,265,3.5,0.440,0.0729,78,0.030,0.41,-0.84,0.0758,0.0627,0.095,7.7
73,33.3215,241,3.5,0.513,0.0745,82,0.029,0.37,-0.73,0.0688,0.0634,0.082,7.9
74,35.6358,252,3.3,0.440,0.0756,79,0.030,0.39,-0.84,0.0733,0.0651,0.071,7.8
75,41.4745,249,3.4,0.473,0.0752,75,0.031,0.38,-0.79,0.0722,0.0675,0.070,7.8
76,30.3351,240,3.3,0.467,0.0777,82,0.029,0.37,-0.80,0.0742,0.0702,0.070,7.7
77,52.0910,247,3.3,0.433,0.0785,78,0.030,0.38,-0.85,0.0638,0.0708,0.069,7.7
78,58.0963,327,3.3,0.520,0.0790,79,0.030,0.50,-0.72,0.0650,0.0698,0.080,7.7
79,24.1935,267,3.3,0.433,0.0800,82,0.029,0.41,-0.85,0.0691,0.0689,0.080,7.7
80,29.2626,278,3.4,0.500,0.0832,83,0.028,0.43,-0.75,0.0706,0.0695,0.077,7.8
81,25.7971,215,3.4,0.473,0.0847,81,0.029,0.33,-0.79,0.0705,0.0683,0.076,7.7
82,45.0412,233,3.4,0.433,0.0861,86,0.027,0.36,-0.85,0.1017,0.0695,0.054,7.8
83,44.8273,313,3.4,0.487,0.0923,81,0.029,0.48,-0.77,0.0777,0.0725,0.041,7.8
84,23.0878,221,3.4,0.500,0.0992,79,0.030,0.34,-0.75,0.0692,0.0746,0.040,7.8
85,45.4960,270,3.3,0.407,0.0997,82,0.029,0.41,-0.89,0.0863,0.0753,0.040,7.6
86,26.9526,243,3.3,0.500,0.1009,79,0.030,0.37,-0.75,0.0932,0.0730,0.050,7.7
87,38.8030,215,3.4,0.480,0.1079,80,0.029,0.33,-0.78,0.0754,0.0752,0.048,7.7
88,42.0772,301,3.4,0.453,0.1116,81,0.029,0.46,-0.82,0.0662,0.0762,0.057,7.7
89,26.3922,239,3.5,0.500,0.1132,82,0.029,0.37,-0.75,0.0666,0.0769,0.055,7.6
90,28.3485,208,3.5,0.467,0.1169,83,0.028,0.32,-0.80,0.0807,0.0773,0.046,7.7
