episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,31.1361,366,3.3,1.000,0.0000,66,0.024,0.56,-0.00,0.0000,0.0000,0.000,7.8
2,31.2102,205,3.3,0.030,0.0000,67,0.023,0.31,-1.46,0.0000,0.0000,0.000,7.8
3,19.3801,320,3.3,0.850,0.0000,66,0.024,0.49,-0.23,0.0000,0.0000,0.000,7.9
4,51.1555,375,3.2,0.160,0.0000,66,0.024,0.58,-1.26,0.0000,0.0000,0.000,7.9
5,26.8633,279,3.3,0.720,0.0000,66,0.024,0.43,-0.42,0.0000,0.0000,0.000,7.8
6,36.0695,329,3.3,0.350,0.0000,69,0.023,0.51,-0.98,0.0000,0.0000,0.000,7.8
7,35.8283,341,3.5,0.600,0.0000,65,0.024,0.52,-0.60,0.0000,0.0000,0.000,7.7
8,36.3986,371,3.2,0.340,0.0000,62,0.025,0.57,-0.99,0.0000,0.0000,0.000,7.7
9,21.2568,273,3.2,0.590,0.0000,63,0.025,0.42,-0.61,0.0000,0.0000,0.000,7.9
10,24.0770,251,3.5,0.370,0.0000,67,0.023,0.39,-0.95,0.0000,0.0000,0.000,8.0
11,25.8570,291,3.6,0.580,0.0000,70,0.022,0.45,-0.63,0.0000,0.0000,0.000,8.0
12,32.4762,298,3.5,0.370,0.0000,63,0.025,0.46,-0.95,0.0000,0.0000,0.000,7.9
13,28.8296,305,3.3,0.550,0.0000,67,0.023,0.47,-0.67,0.0000,0.0000,0.000,7.8
14,36.5433,330,3.4,0.420,0.0000,60,0.026,0.51,-0.87,0.0000,0.0000,0.000,7.7
15,23.8628,267,3.5,0.530,0.0000,66,0.024,0.41,-0.70,0.0000,0.0000,0.000,7.8
16,30.5258,251,3.5,0.450,0.0000,65,0.024,0.39,-0.83,0.0000,0.0000,0.000,7.9
17,24.8945,292,3.3,0.470,0.0000,60,0.026,0.45,-0.80,0.0000,0.0000,0.000,7.9
18,26.0450,288,3.4,0.460,0.0000,63,0.025,0.44,-0.81,0.0000,0.0000,0.000,7.9
19,23.3922,287,3.4,0.450,0.0000,66,0.024,0.44,-0.83,0.0000,0.0000,0.000,7.9
20,34.3560,347,3.3,0.490,0.0000,66,0.024,0.53,-0.77,0.0000,0.0000,0.000,7.8
21,36.5898,331,3.2,0.440,0.0000,64,0.024,0.51,-0.84,0.1730,0.0000,0.000,7.9
22,37.3852,326,3.4,0.530,0.0005,67,0.023,0.50,-0.70,0.1717,0.0181,0.000,7.9
23,37.0141,343,3.4,0.450,0.0015,67,0.023,0.53,-0.83,0.1674,0.0288,0.000,7.8
24,37.2173,353,3.4,0.480,0.0018,64,0.024,0.54,-0.78,0.1637,0.0269,0.000,7.7
25,34.2039,342,3.3,0.460,0.0019,70,0.022,0.53,-0.81,0.1474,0.0226,0.167,7.7
26,19.1708,300,3.3,0.520,0.0023,61,0.026,0.46,-0.72,0.1455,0.0226,0.167,7.7
27,29.0442,286,3.3,0.450,0.0034,65,0.024,0.44,-0.83,0.1411,0.0285,0.143,7.9
28,28.2337,301,3.4,0.510,0.0037,66,0.024,0.46,-0.73,0.1315,0.0279,0.125,7.9
29,25.8570,336,3.5,0.490,0.0037,61,0.026,0.52,-0.77,0.1205,0.0279,0.125,7.9
30,24.5861,296,3.5,0.520,0.0052,64,0.024,0.46,-0.72,0.1210,0.0322,0.100,7.8
31,31.3390,264,3.4,0.490,0.0058,63,0.025,0.41,-0.77,0.1140,0.0331,0.091,7.7
32,30.2174,296,3.4,0.440,0.0059,67,0.023,0.45,-0.84,0.1018,0.0307,0.167,7.7
33,28.8136,275,3.4,0.490,0.0059,65,0.024,0.42,-0.77,0.0959,0.0307,0.167,7.8
34,29.1262,301,3.4,0.490,0.0071,70,0.022,0.46,-0.77,0.0860,0.0278,0.214,7.8
35,20.3550,318,3.4,0.470,0.0077,66,0.024,0.49,-0.80,0.0819,0.0260,0.250,7.9
36,28.9060,251,3.5,0.470,0.0085,64,0.024,0.39,-0.80,0.0804,0.0264,0.222,7.9
37,30.9189,289,3.4,0.490,0.0096,65,0.024,0.44,-0.77,0.0812,0.0257,0.211,7.9
38,27.2026,327,3.3,0.470,0.0104,65,0.024,0.50,-0.80,0.0822,0.0261,0.200,7.9
39,31.9557,326,3.2,0.500,0.0120,65,0.024,0.50,-0.75,0.0799,0.0258,0.190,7.8
40,33.2691,332,3.3,0.440,0.0120,62,0.025,0.51,-0.84,0.0781,0.0258,0.190,7.9
41,30.6858,320,3.2,0.500,0.0119,68,0.023,0.49,-0.75,0.0741,0.0257,0.190,7.8
42,26.6979,323,3.2,0.470,0.0121,69,0.023,0.50,-0.80,0.1510,0.0262,0.174,7.7
43,32.2532,318,3.4,0.500,0.0130,70,0.022,0.49,-0.75,0.1422,0.0276,0.125,7.8
44,37.3917,359,3.3,0.440,0.0154,69,0.023,0.55,-0.84,0.1326,0.0305,0.115,7.8
45,34.1652,333,3.3,0.520,0.0160,63,0.025,0.51,-0.72,0.1179,0.0299,0.111,7.8
46,34.5692,329,3.4,0.420,0.0164,59,0.026,0.50,-0.87,0.1018,0.0299,0.111,7.9
47,28.5371,263,3.6,0.510,0.0167,66,0.024,0.40,-0.73,0.0862,0.0291,0.143,7.9
48,35.9509,310,3.4,0.380,0.0179,69,0.023,0.48,-0.93,0.0773,0.0297,0.138,7.8
49,21.6778,271,3.3,0.570,0.0196,69,0.023,0.42,-0.65,0.0764,0.0317,0.129,7.8
50,24.7760,237,3.4,0.420,0.0199,63,0.025,0.36,-0.87,0.0726,0.0317,0.125,7.7
51,31.6786,303,3.4,0.510,0.0215,61,0.026,0.47,-0.73,0.0781,0.0311,0.118,7.7
52,29.6580,292,3.4,0.440,0.0235,63,0.025,0.45,-0.84,0.0843,0.0323,0.108,7.7
53,25.2119,294,3.4,0.540,0.0247,65,0.024,0.45,-0.69,0.0774,0.0328,0.103,7.8
54,31.6607,297,3.3,0.390,0.0276,63,0.025,0.46,-0.92,0.0823,0.0389,0.100,7.9
55,22.7310,258,3.5,0.550,0.0285,65,0.024,0.40,-0.67,0.0759,0.0384,0.125,8.0
56,30.5119,295,3.6,0.420,0.0284,61,0.026,0.45,-0.87,0.0727,0.0384,0.125,8.0
57,30.7516,276,3.5,0.500,0.0291,62,0.025,0.42,-0.75,0.0697,0.0390,0.128,7.9
58,33.4475,332,3.3,0.470,0.0291,65,0.024,0.51,-0.80,0.0625,0.0390,0.128,7.8
59,29.8909,344,3.2,0.490,0.0303,67,0.023,0.53,-0.77,0.0625,0.0380,0.154,7.8
60,34.7641,326,3.2,0.490,0.0316,66,0.024,0.50,-0.77,0.0639,0.0330,0.171,7.7
61,38.1659,317,3.2,0.430,0.0319,66,0.024,0.49,-0.86,0.0612,0.0337,0.167,7.8
62,31.0280,343,3.1,0.490,0.0343,68,0.023,0.53,-0.77,0.1337,0.0340,0.159,7.8
63,33.3636,316,3.2,0.460,0.0347,64,0.024,0.49,-0.81,0.1336,0.0338,0.163,7.8
64,39.5338,374,3.3,0.510,0.0377,68,0.023,0.57,-0.73,0.1253,0.0385,0.152,7.9
65,27.6053,276,3.3,0.450,0.0378,64,0.024,0.42,-0.83,0.1153,0.0397,0.149,7.9
66,39.1693,369,3.5,0.440,0.0381,65,0.024,0.57,-0.84,0.0987,0.0390,0.170,7.9
67,29.5850,350,3.5,0.530,0.0422,65,0.024,0.54,-0.70,0.0899,0.0427,0.196,7.8
68,24.5437,244,3.4,0.440,0.0448,61,0.026,0.38,-0.84,0.0794,0.0419,0.212,7.8
