episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
57,39.9153,257,3.4,0.460,0.1352,76,0.031,0.39,-0.81,0.0665,0.1806,0.023,7.8
58,30.5929,281,3.3,0.487,0.1396,84,0.028,0.43,-0.77,0.0677,0.1706,0.043,7.8
59,36.9985,252,3.3,0.453,0.1461,82,0.029,0.39,-0.82,0.0650,0.1771,0.043,7.7
60,45.8122,245,3.3,0.520,0.1461,85,0.028,0.38,-0.72,0.0647,0.1771,0.043,7.7
61,30.5529,245,3.3,0.440,0.1669,76,0.031,0.38,-0.84,0.0635,0.1944,0.040,7.7
62,45.0750,283,3.2,0.493,0.1718,79,0.030,0.43,-0.76,0.1166,0.1956,0.038,7.7
63,34.1794,242,3.3,0.487,0.1863,85,0.028,0.37,-0.77,0.0932,0.1884,0.034,7.7
64,30.1360,245,3.3,0.447,0.1884,78,0.030,0.38,-0.83,0.0826,0.1896,0.034,7.8
65,41.2261,280,3.3,0.493,0.1935,83,0.028,0.43,-0.76,0.0706,0.1895,0.034,7.8
66,38.3499,245,3.3,0.453,0.1951,76,0.031,0.38,-0.82,0.0685,0.1857,0.033,7.7
67,35.5811,253,3.4,0.460,0.2005,80,0.029,0.39,-0.81,0.0777,0.1790,0.032,7.7
68,28.1451,302,3.4,0.467,0.2055,84,0.028,0.46,-0.80,0.0802,0.1671,0.030,7.7
69,26.5735,218,3.3,0.493,0.2069,86,0.027,0.34,-0.76,0.0861,0.1638,0.030,7.6
70,34.0056,219,3.3,0.447,0.2094,82,0.029,0.34,-0.83,0.0764,0.1622,0.043,7.7
71,25.1168,242,3.5,0.507,0.2102,84,0.028,0.37,-0.74,0.0738,0.1648,0.029,7.7
72,39.7717,240,3.5,0.453,0.2107,83,0.028,0.37,-0.82,0.0685,0.1586,0.028,7.7
73,40.3559,273,3.4,0.453,0.2112,82,0.029,0.42,-0.82,0.0678,0.1530,0.028,7.9
74,25.6183,239,3.4,0.473,0.2149,83,0.028,0.37,-0.79,0.0712,0.1528,0.029,7.8
75,49.7160,270,3.4,0.467,0.2149,84,0.028,0.42,-0.80,0.0720,0.1572,0.029,7.8
76,38.1900,267,3.3,0.467,0.2172,84,0.028,0.41,-0.80,0.0696,0.1604,0.028,7.7
77,26.9193,275,3.4,0.500,0.2235,85,0.028,0.42,-0.75,0.0720,0.1628,0.042,7.7
78,48.4589,260,3.3,0.433,0.2243,89,0.026,0.40,-0.85,0.0702,0.1667,0.041,7.7
79,56.7074,301,3.2,0.507,0.2257,83,0.028,0.46,-0.74,0.0666,0.1656,0.040,7.7
80,35.6493,285,3.4,0.480,0.2275,83,0.028,0.44,-0.78,0.0660,0.1668,0.040,7.8
81,46.7102,274,3.4,0.427,0.2312,82,0.029,0.42,-0.86,0.0716,0.1672,0.039,7.7
82,28.3891,214,3.3,0.493,0.2304,81,0.029,0.33,-0.76,0.1163,0.1653,0.040,7.8
83,39.7561,246,3.5,0.460,0.2317,84,0.028,0.38,-0.81,0.1003,0.1665,0.026,7.8
84,47.6024,294,3.4,0.460,0.2390,84,0.028,0.45,-0.81,0.0878,0.1682,0.025,7.8
85,32.1545,269,3.4,0.507,0.2416,87,0.027,0.41,-0.74,0.0758,0.1670,0.025,7.6
86,28.8408,237,3.3,0.473,0.2396,80,0.029,0.36,-0.79,0.0736,0.1710,0.025,7.7
87,48.2013,254,3.4,0.453,0.2402,82,0.029,0.39,-0.82,0.0834,0.1680,0.025,7.7
88,23.7530,208,3.4,0.513,0.2406,79,0.030,0.32,-0.73,0.0854,0.1667,0.025,7.7
89,28.2706,216,3.4,0.440,0.2449,76,0.031,0.33,-0.84,0.0889,0.1608,0.037,7.6
90,19.9182,219,3.4,0.493,0.2485,79,0.030,0.34,-0.76,0.0819,0.1720,0.037,7.7
