episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
57,39.5126,276,3.4,0.473,0.1307,80,0.029,0.42,-0.79,0.0643,0.1193,0.095,7.8
58,24.6559,220,3.5,0.487,0.1335,86,0.027,0.34,-0.77,0.0637,0.1124,0.108,7.8
59,36.6970,273,3.4,0.407,0.1400,84,0.028,0.42,-0.89,0.0612,0.1150,0.092,7.7
60,35.3943,280,3.3,0.540,0.1437,79,0.030,0.43,-0.69,0.0658,0.1133,0.092,7.7
61,29.8456,266,3.4,0.427,0.1507,79,0.030,0.41,-0.86,0.0612,0.1208,0.092,7.7
62,36.8860,245,3.3,0.513,0.1558,79,0.030,0.38,-0.73,0.1172,0.1199,0.103,7.7
63,37.8197,258,3.3,0.440,0.1630,83,0.028,0.40,-0.84,0.1026,0.1215,0.114,7.7
64,30.3745,229,3.4,0.480,0.1657,87,0.027,0.35,-0.78,0.0859,0.1174,0.120,7.8
65,35.6990,243,3.4,0.500,0.1653,85,0.028,0.37,-0.75,0.0752,0.1178,0.104,7.8
66,28.5791,256,3.3,0.467,0.1641,84,0.028,0.39,-0.80,0.0664,0.1157,0.104,7.7
67,29.9948,214,3.3,0.487,0.1769,80,0.029,0.33,-0.77,0.0609,0.1263,0.086,7.7
68,50.4996,246,3.6,0.473,0.1777,80,0.029,0.38,-0.79,0.0691,0.1235,0.094,7.7
69,38.1104,248,3.5,0.480,0.1801,82,0.029,0.38,-0.78,0.0673,0.1249,0.082,7.6
70,40.7697,266,3.4,0.453,0.1824,86,0.027,0.41,-0.82,0.0687,0.1260,0.082,7.7
71,39.5767,288,3.4,0.493,0.1861,80,0.029,0.44,-0.76,0.0698,0.1247,0.070,7.7
72,42.0728,278,3.4,0.453,0.1899,75,0.031,0.43,-0.82,0.0691,0.1295,0.068,7.7
73,43.0252,250,3.5,0.547,0.1876,80,0.029,0.38,-0.68,0.0678,0.1295,0.067,7.9
74,41.2046,295,3.4,0.407,0.1881,80,0.029,0.45,-0.89,0.0683,0.1285,0.077,7.8
75,41.0076,230,3.3,0.507,0.2003,76,0.031,0.35,-0.74,0.0629,0.1290,0.083,7.8
76,51.4305,289,3.4,0.427,0.1992,81,0.029,0.44,-0.86,0.0617,0.1315,0.073,7.7
77,37.8035,366,3.4,0.527,0.1985,82,0.029,0.56,-0.71,0.0655,0.1262,0.093,7.7
78,48.4401,271,3.3,0.427,0.1959,83,0.028,0.42,-0.86,0.0636,0.1263,0.093,7.7
79,33.9421,212,3.3,0.540,0.1989,80,0.029,0.33,-0.69,0.0657,0.1211,0.112,7.7
80,51.7575,283,3.4,0.373,0.2043,82,0.029,0.43,-0.94,0.0665,0.1222,0.110,7.8
81,38.8263,273,3.4,0.540,0.2042,80,0.029,0.42,-0.69,0.0636,0.1222,0.110,7.7
82,38.9695,256,3.4,0.427,0.2047,81,0.029,0.39,-0.86,0.1130,0.1221,0.110,7.8
83,39.9302,284,3.4,0.533,0.2098,85,0.028,0.44,-0.70,0.1028,0.1229,0.105,7.8
84,27.4523,238,3.4,0.427,0.2081,85,0.028,0.37,-0.86,0.0925,0.1215,0.095,7.8
85,25.1853,202,3.4,0.533,0.2191,81,0.029,0.31,-0.70,0.0793,0.1221,0.100,7.6
86,25.8090,208,3.3,0.460,0.2185,81,0.029,0.32,-0.81,0.0720,0.1189,0.099,7.7
87,32.8336,221,3.4,0.480,0.2186,81,0.029,0.34,-0.78,0.0704,0.1248,0.072,7.7
88,30.4805,249,3.4,0.407,0.2169,80,0.029,0.38,-0.89,0.0705,0.1242,0.070,7.7
89,44.1228,260,3.3,0.520,0.2188,81,0.029,0.40,-0.72,0.0719,0.1228,0.088,7.6
90,42.8620,286,3.2,0.447,0.2215,83,0.028,0.44,-0.83,0.0815,0.1255,0.078,7.7
91,40.5583,271,3.2,0.473,0.2241,83,0.028,0.42,-0.79,0.0762,0.1269,0.080,7.8
92,34.5420,246,3.3,0.467,0.2242,83,0.028,0.38,-0.80,0.0781,0.1259,0.072,7.7
93,42.7799,282,3.3,0.487,0.2240,84,0.028,0.43,-0.77,0.0748,0.1256,0.080,7.8
94,27.3338,241,3.4,0.493,0.2287,84,0.028,0.37,-0.76,0.0713,0.1248,0.081,7.8
95,36.2873,268,3.4,0.480,0.2261,80,0.029,0.41,-0.78,0.0706,0.1244,0.073,7.8
96,34.9133,234,3.3,0.480,0.2300,85,0.028,0.36,-0.78,0.0633,0.1257,0.072,7.7
97,36.2380,274,3.3,0.447,0.2321,86,0.027,0.42,-0.83,0.0657,0.1193,0.080,7.8
98,38.4229,242,3.4,0.480,0.2353,83,0.028,0.37,-0.78,0.0650,0.1226,0.089,7.8
99,32.5434,259,3.3,0.467,0.2359,83,0.028,0.40,-0.80,0.0672,0.1230,0.088,7.8
100,35.6641,267,3.2,0.420,0.2383,77,0.030,0.41,-0.87,0.0712,0.1242,0.080,7.8
101,39.2813,262,3.3,0.500,0.2369,86,0.027,0.40,-0.75,0.0701,0.1234,0.073,7.8
102,45.0112,275,3.4,0.420,0.2362,88,0.027,0.42,-0.87,0.1117,0.1204,0.071,7.7
103,26.8478,223,3.4,0.520,0.2392,81,0.029,0.34,-0.72,0.1020,0.1208,0.081,7.6
104,27.6102,254,3.4,0.407,0.2360,81,0.029,0.39,-0.89,0.0965,0.1208,0.082,7.7
105,29.6197,208,3.3,0.573,0.2337,85,0.028,0.32,-0.64,0.0847,0.1198,0.081,7.7
106,48.3791,218,3.3,0.373,0.2325,88,0.027,0.33,-0.94,0.0773,0.1206,0.081,7.8
107,23.6374,269,3.4,0.533,0.2319,78,0.030,0.41,-0.70,0.0749,0.1198,0.073,7.7
108,36.1773,224,3.5,0.420,0.2297,88,0.027,0.34,-0.87,0.0735,0.1141,0.071,7.7
109,32.6044,238,3.4,0.533,0.2305,83,0.028,0.37,-0.70,0.0717,0.1150,0.071,7.7
110,44.9623,302,3.4,0.453,0.2313,79,0.030,0.46,-0.82,0.0764,0.1145,0.072,7.8
111,22.9798,236,3.3,0.487,0.2329,86,0.027,0.36,-0.77,0.0797,0.1125,0.082,7.8
112,32.8714,229,3.4,0.447,0.2329,89,0.026,0.35,-0.83,0.0822,0.1109,0.088,7.9
113,40.9986,299,3.3,0.427,0.2321,89,0.026,0.46,-0.86,0.0788,0.1134,0.091,7.8
114,49.1746,282,3.3,0.533,0.2341,91,0.026,0.43,-0.70,0.0746,0.1132,0.102,7.8
115,42.0580,296,3.4,0.447,0.2325,89,0.026,0.46,-0.83,0.0706,0.1068,0.101,7.7
116,35.7217,286,3.3,0.520,0.2397,85,0.028,0.44,-0.72,0.0685,0.1122,0.093,7.8
117,40.0252,281,3.3,0.453,0.2370,85,0.028,0.43,-0.82,0.0690,0.1095,0.113,7.8
118,30.2881,244,3.4,0.500,0.2319,78,0.030,0.37,-0.75,0.0670,0.1033,0.114,7.8
119,36.7266,250,3.5,0.420,0.2303,78,0.030,0.38,-0.87,0.0684,0.1061,0.115,7.8
120,30.3948,256,3.5,0.513,0.2273,84,0.028,0.39,-0.73,0.0691,0.1143,0.106,7.7
121,37.1408,232,3.5,0.427,0.2292,82,0.029,0.36,-0.86,0.0743,0.1171,0.098,7.7
122,47.2645,288,3.4,0.527,0.2349,81,0.029,0.44,-0.71,0.1087,0.1162,0.098,7.7
123,42.8955,317,3.3,0.420,0.2342,80,0.029,0.49,-0.87,0.1034,0.1205,0.083,7.8
124,34.2856,248,3.3,0.493,0.2367,79,0.030,0.38,-0.76,0.0920,0.1168,0.080,7.7
125,24.6219,244,3.4,0.453,0.2399,78,0.030,0.38,-0.82,0.0811,0.1168,0.085,7.7
126,32.2523,217,3.3,0.473,0.2426,74,0.032,0.33,-0.79,0.0798,0.1135,0.088,7.7
127,49.2246,280,3.4,0.453,0.2452,79,0.030,0.43,-0.82,0.0742,0.1150,0.086,7.7
128,48.5411,309,3.3,0.473,0.2485,86,0.027,0.47,-0.79,0.0738,0.1121,0.087,7.7
129,28.2519,248,3.3,0.453,0.2517,83,0.028,0.38,-0.82,0.0753,0.1155,0.078,7.8
130,46.2593,240,3.5,0.453,0.2508,81,0.029,0.37,-0.82,0.0780,0.1196,0.068,7.8
131,16.9174,264,3.5,0.520,0.2562,77,0.030,0.41,-0.72,0.0773,0.1185,0.068,7.8
132,28.3034,234,3.5,0.427,0.2557,81,0.029,0.36,-0.86,0.0799,0.1144,0.059,7.8
133,33.1927,259,3.4,0.480,0.2586,83,0.028,0.40,-0.78,0.0814,0.1151,0.067,7.8
134,29.3576,275,3.3,0.467,0.2618,81,0.029,0.42,-0.80,0.0796,0.1280,0.058,7.8
135,47.0755,229,3.4,0.487,0.2637,83,0.028,0.35,-0.77,0.0732,0.1257,0.067,7.8
136,35.1778,266,3.5,0.493,0.2643,85,0.028,0.41,-0.76,0.0737,0.1276,0.066,7.8
137,19.1567,222,3.4,0.420,0.2641,81,0.029,0.34,-0.87,0.0709,0.1301,0.067,7.7
138,25.8881,257,3.4,0.547,0.2588,85,0.028,0.39,-0.68,0.0735,0.1267,0.051,7.7
139,37.0194,279,3.5,0.420,0.2615,80,0.029,0.43,-0.87,0.0754,0.1253,0.050,7.7
140,43.2371,251,3.5,0.500,0.2647,81,0.029,0.39,-0.75,0.0705,0.1252,0.034,7.8
141,32.7098,274,3.5,0.420,0.2640,82,0.029,0.42,-0.87,0.0752,0.1240,0.034,7.8
142,29.5375,212,3.5,0.487,0.2630,86,0.027,0.33,-0.77,0.1021,0.1230,0.033,7.8
143,48.5669,240,3.3,0.460,0.2589,75,0.031,0.37,-0.81,0.0999,0.1262,0.041,7.8
144,17.6391,242,3.3,0.480,0.2544,85,0.028,0.37,-0.78,0.0878,0.1212,0.066,7.7
145,42.4493,258,3.3,0.440,0.2514,79,0.030,0.40,-0.84,0.0831,0.1185,0.091,7.7
146,39.1501,272,3.3,0.507,0.2444,79,0.030,0.42,-0.74,0.0777,0.1197,0.091,7.7
147,49.3028,275,3.3,0.447,0.2434,83,0.028,0.42,-0.83,0.0696,0.1176,0.092,7.8
148,43.9019,272,3.2,0.500,0.2348,82,0.029,0.42,-0.75,0.0765,0.1144,0.100,7.8
149,50.9333,315,3.3,0.433,0.2368,78,0.030,0.48,-0.85,0.0710,0.1139,0.098,7.8
150,25.6169,266,3.4,0.513,0.2393,80,0.029,0.41,-0.73,0.0730,0.1138,0.098,7.8
151,31.0902,192,3.4,0.467,0.2431,80,0.029,0.30,-0.80,0.0798,0.1176,0.089,7.7
152,45.4012,246,3.4,0.480,0.2414,81,0.029,0.38,-0.78,0.0791,0.1157,0.082,7.8
153,21.9227,272,3.4,0.460,0.2442,83,0.028,0.42,-0.81,0.0777,0.1209,0.089,7.8
154,40.7261,250,3.4,0.460,0.2386,80,0.029,0.38,-0.81,0.0791,0.1142,0.094,7.8
155,47.3405,307,3.3,0.480,0.2366,81,0.029,0.47,-0.78,0.0698,0.1104,0.078,7.8
156,32.6687,258,3.4,0.453,0.2323,81,0.029,0.40,-0.82,0.0720,0.1151,0.080,7.7
157,36.5646,251,3.5,0.480,0.2311,81,0.029,0.39,-0.78,0.0704,0.1152,0.081,7.7
158,34.1959,254,3.5,0.480,0.2279,91,0.026,0.39,-0.78,0.0676,0.1167,0.082,7.7
