episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
57,39.1136,259,3.4,0.407,0.0252,83,0.028,0.40,-0.89,0.0768,0.0336,0.192,7.8
58,23.3528,249,3.5,0.520,0.0260,80,0.029,0.38,-0.72,0.0729,0.0330,0.212,7.8
59,26.1107,253,3.4,0.433,0.0270,79,0.030,0.39,-0.85,0.0661,0.0333,0.231,7.7
60,54.9133,262,3.4,0.493,0.0271,83,0.028,0.40,-0.76,0.0684,0.0311,0.226,7.7
61,39.1607,301,3.2,0.453,0.0291,80,0.029,0.46,-0.82,0.0684,0.0306,0.211,7.7
62,21.8523,222,3.2,0.513,0.0308,82,0.029,0.34,-0.73,0.1131,0.0304,0.207,7.7
63,46.3912,223,3.4,0.420,0.0341,84,0.028,0.34,-0.87,0.1167,0.0325,0.203,7.7
64,30.0096,244,3.5,0.507,0.0361,84,0.028,0.37,-0.74,0.1135,0.0328,0.197,7.8
65,24.4786,242,3.4,0.460,0.0380,84,0.028,0.37,-0.81,0.1046,0.0338,0.197,7.8
66,49.0697,282,3.4,0.467,0.0399,85,0.028,0.43,-0.80,0.0975,0.0341,0.210,7.7
67,32.6389,255,3.4,0.513,0.0423,86,0.027,0.39,-0.73,0.0869,0.0373,0.190,7.7
68,21.3461,222,3.4,0.420,0.0462,84,0.028,0.34,-0.87,0.0843,0.0393,0.162,7.7
69,34.7311,224,3.4,0.547,0.0475,85,0.028,0.34,-0.68,0.0766,0.0401,0.191,7.6
70,51.2036,265,3.4,0.433,0.0483,82,0.029,0.41,-0.85,0.0714,0.0410,0.174,7.7
71,29.2279,264,3.4,0.487,0.0495,79,0.030,0.41,-0.77,0.0685,0.0418,0.178,7.7
72,26.9276,226,3.5,0.460,0.0504,85,0.028,0.35,-0.81,0.0753,0.0418,0.194,7.7
73,42.3953,248,3.4,0.507,0.0514,84,0.028,0.38,-0.74,0.0752,0.0413,0.189,7.9
74,28.6388,266,3.3,0.473,0.0514,81,0.029,0.41,-0.79,0.0768,0.0413,0.189,7.8
75,37.4196,270,3.4,0.487,0.0521,82,0.029,0.42,-0.77,0.0804,0.0424,0.182,7.8
76,43.6196,264,3.4,0.467,0.0525,84,0.028,0.41,-0.80,0.0777,0.0429,0.179,7.7
77,46.1759,291,3.4,0.453,0.0545,79,0.030,0.45,-0.82,0.0758,0.0423,0.181,7.7
78,44.9711,284,3.2,0.520,0.0553,83,0.028,0.44,-0.72,0.0758,0.0426,0.185,7.7
79,44.8100,268,3.3,0.440,0.0540,81,0.029,0.41,-0.84,0.0689,0.0429,0.185,7.7
