episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
57,44.7336,302,3.2,0.493,0.0283,80,0.029,0.46,-0.76,0.0687,0.0452,0.107,7.8
58,42.1574,273,3.4,0.480,0.0290,77,0.030,0.42,-0.78,0.0677,0.0447,0.086,7.8
59,32.0371,259,3.4,0.447,0.0303,84,0.028,0.40,-0.83,0.0634,0.0452,0.103,7.7
60,40.6216,233,3.4,0.513,0.0308,83,0.028,0.36,-0.73,0.0664,0.0453,0.102,7.7
61,43.9968,288,3.4,0.433,0.0318,79,0.030,0.44,-0.85,0.0650,0.0453,0.100,7.7
62,24.9987,248,3.3,0.493,0.0335,80,0.029,0.38,-0.76,0.1212,0.0419,0.129,7.7
63,30.3226,258,3.3,0.467,0.0368,80,0.029,0.40,-0.80,0.1199,0.0451,0.121,7.7
64,40.6979,252,3.4,0.480,0.0395,77,0.030,0.39,-0.78,0.1131,0.0470,0.118,7.8
65,37.2066,274,3.3,0.473,0.0441,79,0.030,0.42,-0.79,0.1080,0.0487,0.110,7.8
66,31.7926,282,3.3,0.473,0.0452,89,0.026,0.43,-0.79,0.1018,0.0504,0.097,7.7
67,35.4620,244,3.3,0.453,0.0475,85,0.028,0.37,-0.82,0.0844,0.0500,0.097,7.7
68,30.1734,298,3.3,0.513,0.0497,83,0.028,0.46,-0.73,0.0759,0.0515,0.096,7.7
69,35.1485,238,3.3,0.447,0.0498,71,0.033,0.37,-0.83,0.0706,0.0515,0.110,7.6
70,39.3303,266,3.4,0.493,0.0498,86,0.027,0.41,-0.76,0.0637,0.0525,0.111,7.7
71,28.5587,249,3.5,0.433,0.0499,82,0.029,0.38,-0.85,0.0682,0.0528,0.111,7.7
72,24.2038,226,3.5,0.513,0.0566,78,0.030,0.35,-0.73,0.0663,0.0551,0.101,7.7
73,31.6441,238,3.4,0.467,0.0578,81,0.029,0.37,-0.80,0.0681,0.0548,0.100,7.9
74,45.5021,290,3.2,0.480,0.0588,86,0.027,0.45,-0.78,0.0741,0.0548,0.086,7.8
75,32.8829,253,3.3,0.460,0.0601,82,0.029,0.39,-0.81,0.0700,0.0536,0.106,7.8
76,35.6142,223,3.4,0.507,0.0628,84,0.028,0.34,-0.74,0.0721,0.0548,0.105,7.7
77,28.2390,262,3.4,0.440,0.0646,85,0.028,0.40,-0.84,0.0699,0.0548,0.106,7.7
78,43.6455,243,3.3,0.460,0.0650,84,0.028,0.37,-0.81,0.0713,0.0544,0.106,7.7
79,33.1166,241,3.2,0.493,0.0652,81,0.029,0.37,-0.76,0.0672,0.0546,0.106,7.7
80,38.0847,226,3.4,0.447,0.0656,86,0.027,0.35,-0.83,0.0667,0.0543,0.116,7.8
81,28.8465,294,3.3,0.520,0.0654,76,0.031,0.45,-0.72,0.0639,0.0537,0.126,7.7
82,39.5180,292,3.4,0.413,0.0685,75,0.031,0.45,-0.88,0.1108,0.0565,0.125,7.8
83,33.6678,250,3.4,0.513,0.0742,82,0.029,0.38,-0.73,0.1077,0.0617,0.114,7.8
84,37.6342,250,3.4,0.413,0.0780,81,0.029,0.38,-0.88,0.0997,0.0615,0.112,7.8
85,29.9598,286,3.4,0.533,0.0786,82,0.029,0.44,-0.70,0.0987,0.0631,0.100,7.6
86,29.5422,267,3.4,0.440,0.0794,77,0.030,0.41,-0.84,0.0881,0.0645,0.100,7.7
87,39.5221,212,3.4,0.447,0.0819,79,0.030,0.33,-0.83,0.0793,0.0650,0.100,7.7
88,19.7013,249,3.4,0.513,0.0846,83,0.028,0.38,-0.73,0.0765,0.0657,0.098,7.7
89,23.0530,228,3.4,0.440,0.0872,80,0.029,0.35,-0.84,0.0696,0.0684,0.095,7.6
90,37.6065,236,3.4,0.513,0.0881,84,0.028,0.36,-0.73,0.0670,0.0676,0.086,7.7
91,43.0048,250,3.4,0.453,0.0910,82,0.029,0.38,-0.82,0.0671,0.0720,0.074,7.8
92,34.8576,294,3.4,0.513,0.0913,85,0.028,0.45,-0.73,0.0699,0.0711,0.064,7.7
93,30.7291,271,3.3,0.433,0.0941,79,0.030,0.42,-0.85,0.0729,0.0721,0.074,7.8
94,41.4134,248,3.3,0.480,0.0963,80,0.029,0.38,-0.78,0.0684,0.0733,0.082,7.8
95,47.1514,273,3.3,0.447,0.0972,79,0.030,0.42,-0.83,0.0734,0.0745,0.073,7.8
96,34.9054,272,3.3,0.487,0.0979,86,0.027,0.42,-0.77,0.0735,0.0750,0.073,7.7
97,39.7256,270,3.4,0.487,0.0981,87,0.027,0.41,-0.77,0.0703,0.0752,0.063,7.8
98,39.3563,240,3.5,0.520,0.0976,84,0.028,0.37,-0.72,0.0704,0.0751,0.062,7.8
99,42.4896,282,3.5,0.433,0.0986,76,0.031,0.43,-0.85,0.0674,0.0754,0.062,7.8
100,39.4556,282,3.4,0.493,0.0984,82,0.029,0.43,-0.76,0.0660,0.0736,0.052,7.8
101,38.2807,267,3.3,0.473,0.1004,87,0.027,0.41,-0.79,0.0608,0.0764,0.052,7.8
102,35.1464,292,3.3,0.447,0.1014,80,0.029,0.45,-0.83,0.1017,0.0780,0.052,7.7
103,33.9715,252,3.4,0.460,0.1025,75,0.031,0.39,-0.81,0.1092,0.0770,0.062,7.6
104,33.7336,229,3.4,0.453,0.1036,82,0.029,0.35,-0.82,0.0981,0.0756,0.061,7.7
105,34.4153,249,3.4,0.493,0.1034,85,0.028,0.38,-0.76,0.0958,0.0757,0.060,7.7
106,40.7896,288,3.3,0.453,0.1069,84,0.028,0.44,-0.82,0.0832,0.0799,0.069,7.8
107,42.7455,270,3.3,0.500,0.1094,83,0.028,0.41,-0.75,0.0781,0.0831,0.059,7.7
108,41.0750,273,3.4,0.420,0.1128,80,0.029,0.42,-0.87,0.0712,0.0840,0.066,7.7
109,46.8402,248,3.3,0.467,0.1138,80,0.029,0.38,-0.80,0.0687,0.0874,0.048,7.7
110,51.9724,274,3.3,0.427,0.1154,79,0.030,0.42,-0.86,0.0668,0.0884,0.039,7.8
111,18.8523,247,3.4,0.527,0.1176,83,0.028,0.38,-0.71,0.0699,0.0906,0.049,7.8
112,45.1700,257,3.3,0.380,0.1196,84,0.028,0.40,-0.93,0.0671,0.0925,0.050,7.9
113,29.9496,273,3.3,0.547,0.1218,79,0.030,0.42,-0.68,0.0693,0.0904,0.030,7.8
114,35.8804,241,3.4,0.400,0.1219,81,0.029,0.37,-0.90,0.0744,0.0895,0.030,7.8
115,49.1478,275,3.5,0.500,0.1240,85,0.028,0.42,-0.75,0.0697,0.0908,0.029,7.7
116,41.0418,292,3.4,0.447,0.1274,90,0.026,0.45,-0.83,0.0690,0.0903,0.028,7.8
117,35.3333,265,3.4,0.500,0.1308,82,0.029,0.41,-0.75,0.0725,0.0939,0.028,7.8
118,42.5181,283,3.5,0.460,0.1318,85,0.028,0.43,-0.81,0.0658,0.0960,0.038,7.8
119,23.7028,252,3.6,0.487,0.1351,83,0.028,0.39,-0.77,0.0696,0.0995,0.039,7.8
120,28.6100,239,3.5,0.487,0.1368,80,0.029,0.37,-0.77,0.0646,0.1035,0.029,7.7
121,33.1584,229,3.5,0.467,0.1404,81,0.029,0.35,-0.80,0.0653,0.1076,0.029,7.7
122,40.0624,270,3.4,0.480,0.1432,85,0.028,0.42,-0.78,0.0988,0.1098,0.038,7.7
123,39.8615,266,3.4,0.420,0.1441,86,0.027,0.41,-0.87,0.0970,0.1096,0.038,7.8
124,25.0657,237,3.4,0.513,0.1464,79,0.030,0.36,-0.73,0.0920,0.1117,0.038,7.7
125,26.8966,242,3.3,0.420,0.1534,74,0.032,0.37,-0.87,0.0879,0.1172,0.039,7.7
126,44.3416,273,3.3,0.480,0.1554,81,0.029,0.42,-0.78,0.0795,0.1199,0.040,7.7
127,41.4869,315,3.4,0.433,0.1546,82,0.029,0.48,-0.85,0.0771,0.1216,0.040,7.7
128,46.4069,279,3.3,0.533,0.1559,81,0.029,0.43,-0.70,0.0732,0.1202,0.058,7.7
129,45.8769,277,3.4,0.420,0.1581,79,0.030,0.43,-0.87,0.0673,0.1167,0.048,7.8
130,48.0545,309,3.3,0.480,0.1591,89,0.026,0.47,-0.78,0.0648,0.1178,0.048,7.8
131,37.3111,271,3.2,0.467,0.1618,82,0.029,0.42,-0.80,0.0655,0.1187,0.048,7.8
132,50.6680,268,3.3,0.493,0.1643,82,0.029,0.41,-0.76,0.0669,0.1196,0.037,7.8
133,29.2631,272,3.4,0.467,0.1642,78,0.030,0.42,-0.80,0.0695,0.1225,0.038,7.8
134,32.4310,217,3.4,0.493,0.1694,80,0.029,0.33,-0.76,0.0709,0.1242,0.037,7.8
135,30.5814,236,3.4,0.460,0.1693,77,0.030,0.36,-0.81,0.0681,0.1214,0.037,7.8
136,27.4548,231,3.4,0.520,0.1695,80,0.029,0.36,-0.72,0.0700,0.1219,0.037,7.8
137,27.2404,242,3.3,0.467,0.1676,79,0.030,0.37,-0.80,0.0683,0.1187,0.036,7.7
138,37.1731,260,3.3,0.447,0.1700,85,0.028,0.40,-0.83,0.0717,0.1179,0.027,7.7
139,34.3840,285,3.4,0.527,0.1742,83,0.028,0.44,-0.71,0.0645,0.1222,0.026,7.7
140,27.3823,237,3.5,0.453,0.1755,83,0.028,0.36,-0.82,0.0650,0.1227,0.026,7.8
141,38.2173,250,3.4,0.487,0.1771,75,0.031,0.38,-0.77,0.0646,0.1273,0.018,7.8
142,40.9088,245,3.4,0.467,0.1815,81,0.029,0.38,-0.80,0.0904,0.1316,0.018,7.8
143,50.8851,271,3.3,0.473,0.1877,81,0.029,0.42,-0.79,0.0903,0.1377,0.009,7.8
144,48.8624,286,3.4,0.480,0.1902,81,0.029,0.44,-0.78,0.0863,0.1408,0.009,7.7
145,29.3962,212,3.4,0.447,0.1905,77,0.030,0.33,-0.83,0.0843,0.1412,0.009,7.7
146,43.2370,291,3.4,0.440,0.1881,76,0.031,0.45,-0.84,0.0757,0.1397,0.009,7.7
147,30.3789,262,3.4,0.467,0.1905,83,0.028,0.40,-0.80,0.0774,0.1416,0.009,7.8
148,41.6665,275,3.4,0.440,0.1904,80,0.029,0.42,-0.84,0.0696,0.1414,0.019,7.8
149,36.1123,256,3.4,0.493,0.1895,80,0.029,0.39,-0.76,0.0689,0.1414,0.019,7.8
150,41.9333,243,3.4,0.440,0.1904,75,0.031,0.37,-0.84,0.0659,0.1383,0.019,7.8
151,42.6374,260,3.3,0.527,0.1909,77,0.030,0.40,-0.71,0.0677,0.1379,0.019,7.7
152,55.4174,276,3.3,0.407,0.1917,77,0.030,0.42,-0.89,0.0713,0.1383,0.019,7.8
153,34.6539,307,3.3,0.520,0.1962,80,0.029,0.47,-0.72,0.0723,0.1366,0.019,7.8
154,40.0181,282,3.3,0.393,0.1995,77,0.030,0.43,-0.91,0.0718,0.1420,0.019,7.8
