episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
57,33.5751,332,3.3,0.480,0.0383,64,0.024,0.51,-0.78,0.0708,0.0319,0.264,7.9
58,39.2660,332,3.1,0.470,0.0399,66,0.024,0.51,-0.80,0.0644,0.0329,0.241,7.8
59,34.9442,356,3.4,0.480,0.0440,62,0.025,0.55,-0.78,0.0631,0.0360,0.211,7.8
60,42.7034,370,3.4,0.470,0.0459,64,0.024,0.57,-0.80,0.0624,0.0372,0.186,7.7
61,32.5082,357,3.4,0.430,0.0449,67,0.023,0.55,-0.86,0.0594,0.0375,0.186,7.8
62,32.3921,333,3.1,0.510,0.0491,63,0.025,0.51,-0.73,0.1408,0.0410,0.153,7.8
63,27.5866,289,3.1,0.450,0.0517,63,0.025,0.44,-0.83,0.1322,0.0429,0.129,7.8
64,32.3974,293,3.3,0.480,0.0547,67,0.023,0.45,-0.78,0.1310,0.0429,0.123,7.9
65,19.9085,298,3.3,0.500,0.0589,64,0.024,0.46,-0.75,0.1205,0.0471,0.123,7.9
66,35.9157,351,3.2,0.450,0.0607,61,0.026,0.54,-0.83,0.1023,0.0476,0.106,7.9
67,34.7611,312,3.3,0.530,0.0615,70,0.022,0.48,-0.70,0.0890,0.0483,0.092,7.8
68,34.0626,366,3.3,0.420,0.0626,61,0.026,0.56,-0.87,0.0760,0.0512,0.078,7.8
69,25.7096,279,3.4,0.510,0.0652,65,0.024,0.43,-0.73,0.0683,0.0487,0.094,7.7
70,43.0421,314,3.2,0.470,0.0668,64,0.024,0.48,-0.80,0.0665,0.0487,0.092,7.7
71,28.3088,364,3.3,0.510,0.0708,64,0.024,0.56,-0.73,0.0646,0.0480,0.118,7.8
72,29.0419,286,3.4,0.420,0.0735,61,0.026,0.44,-0.87,0.0622,0.0484,0.113,7.8
73,41.9753,340,3.4,0.530,0.0775,61,0.026,0.52,-0.70,0.0735,0.0519,0.129,8.0
74,35.6347,340,3.3,0.440,0.0791,68,0.023,0.52,-0.84,0.0711,0.0523,0.113,8.0
75,32.9666,265,3.4,0.520,0.0800,69,0.023,0.41,-0.72,0.0751,0.0521,0.111,7.9
76,34.0536,338,3.3,0.430,0.0806,67,0.023,0.52,-0.86,0.0757,0.0507,0.137,7.8
77,28.7687,331,3.2,0.530,0.0817,65,0.024,0.51,-0.70,0.0729,0.0520,0.149,7.8
78,32.8325,319,3.2,0.440,0.0828,68,0.023,0.49,-0.84,0.0613,0.0531,0.135,7.7
79,29.2293,337,3.2,0.510,0.0850,59,0.026,0.52,-0.73,0.0637,0.0547,0.135,7.8
80,36.6696,354,3.2,0.470,0.0856,66,0.024,0.54,-0.80,0.0607,0.0559,0.120,7.9
81,35.3477,322,3.4,0.480,0.0887,67,0.023,0.49,-0.78,0.0588,0.0565,0.105,7.8
82,25.9801,303,3.4,0.490,0.0913,62,0.025,0.47,-0.77,0.1262,0.0588,0.103,7.9
83,30.6951,320,3.3,0.480,0.0934,68,0.023,0.49,-0.78,0.1263,0.0594,0.105,8.0
84,23.1003,256,3.3,0.480,0.0968,63,0.025,0.39,-0.78,0.1223,0.0603,0.092,7.9
85,30.0764,300,3.3,0.470,0.0983,66,0.024,0.46,-0.80,0.1175,0.0605,0.093,7.8
86,35.6393,284,3.2,0.470,0.1005,58,0.027,0.44,-0.80,0.0984,0.0608,0.089,7.9
87,31.1688,323,3.3,0.480,0.1019,63,0.025,0.50,-0.78,0.0835,0.0602,0.087,7.8
88,21.7726,312,3.4,0.510,0.1055,65,0.024,0.48,-0.73,0.0709,0.0596,0.099,7.8
89,23.5307,272,3.3,0.420,0.1115,57,0.027,0.42,-0.87,0.0642,0.0627,0.099,7.7
90,29.5080,278,3.4,0.510,0.1123,62,0.025,0.43,-0.73,0.0637,0.0596,0.107,7.8
91,30.0842,289,3.3,0.390,0.1177,63,0.025,0.44,-0.92,0.0611,0.0629,0.110,7.9
